Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,BRA,Broad money growth (annual %),FM.LBL.BMNY.ZG,,45.70200573,63.12684366,64.3761302,78.51118445,73.66474938,21.07877928,51.70965221,43.52501771,31.43844221,28.73527906,37.88348845,25,43.07692308,35.48387097,42.85714286,38.88888889,44.8,45.5801105,73.05502846,61.40350877,88.11141304,84.03755869,135.8124019,270.1256553,322.4672872,289.2115697,213.6679119,2732.950596,1904.888595,640.8685147,501.6165875,1749.382731,3280.652727,1102.383252,44.30215492,31.03490423,17.24332067,12.01934813,18.1153445,19.70463724,38.40780807,6.143616107,18.58424658,13.56683041,18.35230376,16.75810284,22.01997379,17.88245818,15.69467992,13.71888687,16.5779268,13.20689898,10.13768984,12.91188705,11.55896755,11.39080224,4.190150913,7.104205464,8.136261479,17.02427159,12.25920825,13.27717587
Barbados,BRB,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,19.57730812,32.37209302,7.4490513,15.43492479,18.35694051,14.98324557,2.443796836,20.12029097,17.02753908,12.90798184,9.985661614,24.05950275,26.54106697,14.13212723,14.62482947,8.754151506,11.22529809,7.420769534,9.127389146,7.841977361,18.01254207,11.10385287,2.679722304,13.5532749,-0.734096199,5.327608609,3.583867033,7.554586521,4.754927467,17.94498883,6.147538222,7.936774951,7.13233413,9.598271877,34.22777646,15.374797,4.616763181,11.72918809,16.88576982,5.345196708,20.91231072,1.154007328,0.573020933,,,,3.758714738,3.168232832,6.121645792,4.152880717,1.215054597,-0.128668852,2.963040169,7.257790561,5.970572924,
Brunei Darussalam,BRN,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6608322,-11.93038471,1.885420318,4.071058872,15.83467208,-4.497416078,2.116894296,6.706154566,9.578762407,9.655606151,4.807045687,10.05489181,0.899078958,1.466268966,3.221126116,-1.759365056,1.509268993,-0.441585056,2.8375155,4.268959962,-0.429671234,2.7055958,1.251504704
Bhutan,BTN,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,13.06223044,26.43051771,7.456896552,10.81026875,30.98642534,34.93160149,10.47619048,29.57916203,13.52743401,22.36925016,23.34191555,35.63227988,8.950997291,58.94168833,13.94443556,32.04636216,17.37450825,7.8523579,43.11630986,5.080983574,16.17303418,12.9891929,18.66310122,11.77573796,26.17090662,25.84459085,16.64378961,4.388710165,5.79017661,3.746539085,25.91497661,3.887279399,23.53443107,17.32735651,6.550358878,12.42647408,28.00164044,3.027099721,
Botswana,BWA,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,25.99361764,11.39673037,64.52802421,19.02811628,-4.374736131,8.451288753,28.74531835,16.64505929,51.10195451,8.749551489,67.17257535,21.21576948,46.31535243,-13.98581166,41.56764065,13.25074938,-14.43592216,12.80957052,12.25708828,18.77857877,28.64273466,39.43031083,26.33309057,1.386367913,72.39275671,23.26331453,14.31460376,10.7097382,14.40286141,8.96190999,31.45976407,21.46093672,-1.302632396,10.70163227,4.440318983,9.994029659,8.434674305,4.593309029,19.87549824,5.391076852,2.71694718,8.318946648,7.990081267,5.892459913,5.020386515,6.787952561
Central African Republic,CAF,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,4.358353511,29.00232019,2.697841727,9.281961471,28.18910256,-3.825478185,10.30807227,0.883808626,16.04952692,4.267740312,29.45264987,0.574198359,41.96633796,7.139499661,10.1686653,20.11061947,34.95303002,23.83643163,-4.203681252,11.71245801,7.528631458,10.01475011,2.221796591,3.645221183,-6.268180847,12.42087914,-3.543521999,-4.241248282,-3.343352133,12.81925859,78.521214,4.275342834,4.865327987,-7.725257205,-16.14744516,11.06475027,2.378688721,-1.988928359,-5.081502741,-7.639750349,13.07436438,18.28398029,-4.593453838,-6.310388211,18.42805108,11.71117089,16.12918206,13.79416721,1.555291153,5.616222335,14.57992043,5.3125,5.750082427,10.30301252,14.04837755,8.916387726,11.47013471,14.56903384,
Canada,CAN,Broad money growth (annual %),FM.LBL.BMNY.ZG,,8.471429554,2.852614897,11.61787365,9.939260077,10.27122049,28.7542701,14.65261073,14.10058624,8.464034613,9.715781601,9.996136978,14.50646614,21.14996031,19.0749207,15.87918959,18.26845246,14.74759089,16.79828224,17.8466378,12.11181021,29.64615908,5.955447434,2.400300131,7.458563536,7.177146052,8.590869616,8.50209308,12.23264378,13.39134075,8.093372171,3.88294636,6.400979418,1.905095051,4.630573459,4.829985445,4.045237267,4.37212285,2.420540878,5.362270333,6.623295814,125.0310038,2.655525616,0.510667128,5.46310788,9.645191141,12.47949208,-25.55068614,14.92176826,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Broad money growth (annual %),FM.LBL.BMNY.ZG,,10.31221125,13.78314634,8.837659822,11.88280944,6.945814375,7.406580983,7.881943963,11.97396462,14.23395742,10.26837689,10.99693266,10.56507228,5.180482523,-17.05072699,7.524843374,9.012641415,6.753983276,11.28449342,9.516949204,0.480482489,8.378220952,18.58185578,3.887840947,13.76486426,4.171186274,3.333824169,10.56976219,5.424529749,6.283181204,0.834714026,2.331051078,2.596964855,8.897977344,4.156135383,4.606079404,9.566716086,6.624206255,5.098236747,13.27992022,-16.9305268,3.913258991,5.732114699,8.359130169,2.85023318,6.887698047,4.606067621,3.329017077,4.018970238,7.605757061,5.501184989,11.22888146,13.00498116,4.075687436,4.569954797,0.079414515,3.307386975,,,,,,
Channel Islands,CHI,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,109.0517241,-17.25085911,44.51827243,22.47126437,76.34913186,28.33954231,42.50466515,38.20747854,57.94294136,101.9596081,144.5544554,334.0080972,297.2947761,306.7230179,411.8440549,100.759427,91.58052434,83.49038161,62.52996516,23.74187966,23.67204013,14.89535322,32.45310382,52.72649484,24.90508592,31.52959143,29.49662643,31.36666167,24.24442854,26.97411371,26.08017844,24.53750027,11.66949856,24.3475256,20.09407935,24.46735268,13.2940124,12.98481725,9.092598691,82.58830836,6.079162765,-0.512352386,9.553330176,11.19164601,19.18639159,18.75458141,0.23651447,-4.697950987,7.714455795,22.87669793,10.30077464,11.74286803,8.742519505,9.151504104,4.901817449,0.556021108,4.178739765,12.1600547,14.06563347,19.2852459,3.791803424
China,CHN,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,,,,,,,,,,,,,,,3.646318733,49.2413173,25.85479741,18.34719646,14.56237043,19.73341572,32.64892362,35.47033486,30.2303637,25.34102007,20.66881142,18.65216984,28.86659469,26.67910829,30.79967095,46.66979073,31.50013453,29.4610222,25.2731568,20.72731167,14.90435007,14.66647771,12.32478198,15.04241351,13.14043628,19.23976666,14.88692014,16.7416524,22.11611885,16.73553458,17.77810755,28.42327787,18.94831461,17.32296979,14.39165202,13.58890221,11.01193614,13.34310169,11.33311895,8.109777962,6.991061694,8.88227906,10.01356231,9.075745734,11.66330022
Cote d'Ivoire,CIV,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,14.28571429,36.26101322,-1.272984441,10.41751944,7.933271548,24.57496136,26.71629446,16.16623151,10.1329837,4.447278912,20.41846454,50.90933676,9.564983648,43.01193981,49.961401,10.89057942,-2.65641925,2.766002543,9.939500189,3.234581412,4.786927946,19.38001301,13.72731675,2.70906903,-3.583385835,1.471011872,-8.080231448,-2.571951844,0.115518092,-1.185464823,-1.362285747,46.78375219,18.08176301,3.926615065,8.187893358,6.017081315,-1.682658614,-1.758462951,4.55722942,29.77880974,-27.67933784,7.567924811,-0.176792556,13.16570965,32.15272899,8.016905864,21.16978489,19.12041219,11.01579644,4.85589316,11.34016442,14.17779256,18.15469153,11.03846834,9.193404654,13.39670524,10.76098137,21.1007351,18.7449777,8.982982807
Cameroon,CMR,Broad money growth (annual %),FM.LBL.BMNY.ZG,,0.201612903,30.58350101,6.060606061,11.57384988,0.347222222,17.34429066,8.182823443,19.71720613,18.7722344,11.53044353,12.86496938,9.831915177,22.4097889,34.87851843,12.57794294,25.08765059,38.12551715,15.43331139,22.54699824,21.38663269,28.56415495,19.01314969,26.53697153,20.59591737,17.39895356,-4.267346054,-18.3279038,2.041462767,2.451950487,-0.709612544,1.478671148,-16.72046508,-9.228409066,26.54093348,-6.154587471,-10.10122659,18.57764727,7.773653789,13.2968993,19.13370017,1.374784351,21.17358224,1.947420142,7.450716035,5.654143695,8.12791258,14.87185325,13.95130411,8.231522313,13.80783321,10.13037311,-0.058902576,11.44527944,13.2432367,8.802922255,5.000987435,5.432283214,13.93785635,,,,
"Congo, Dem. Rep.",COD,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,26.0741573,16.47861968,25.27697864,40.7495175,31.77147519,11.95047255,22.48617484,7.753527824,21.48699548,37.83269125,32.92072948,10.02475297,38.05832276,59.23663116,54.27860087,4.991888235,62.73705388,51.99566796,74.87829394,1113.004659,-81.70201045,31.73821403,57.31267802,94.30074708,131.4965925,67.40596062,195.386506,2388.567162,3794.448955,2853.124916,6968.922518,357.6323059,,,,,,41.42720186,38.44250163,29.73571233,81.8542355,23.34078444,56.53031673,50.58676253,55.05027729,56.21404592,34.76428386,21.49685705,20.67060789,18.74037715,14.66030982,9.385459484,21.77489983,34.26826216,35.80148145,,,,
"Congo, Rep.",COG,Broad money growth (annual %),FM.LBL.BMNY.ZG,,12.45136187,-16.49365629,17.26519337,-3.533568905,-7.081807082,9.855453351,17.22488038,16.19387755,4.847633266,17.2460005,8.801257322,6.290216678,14.78873239,39.12926488,13.3717557,15.82736267,2.397714218,6.728418146,21.61608539,36.56974425,50.40325852,26.205453,-1.483273632,7.266826339,20.97807621,-11.5814392,5.961186489,-4.500942157,3.090479678,18.39878782,-4.801268745,8.813275873,-26.55995082,28.19381842,-0.051485546,15.69673212,9.516052842,-12.78290919,19.8714159,58.52195397,-29.24524351,12.67805123,-1.936173805,20.1010159,34.37195343,47.07537865,16.564433,32.96816235,4.909264778,31.95524279,38.0524976,19.83495318,1.054921978,13.65567434,-11.39635477,-15.03190239,-11.5569235,-6.009807106,13.99920262,14.11137949,7.330500036,
Colombia,COL,Broad money growth (annual %),FM.LBL.BMNY.ZG,,23.2345408,19.34382423,15.46212215,17.97026503,14.91324201,14.63879838,19.91681109,16.24465256,21.64810026,15.36731941,10.64847626,26.95596477,31.51203269,45.20850117,34.7965074,40.63207408,35.19803774,26.66683847,24.90122437,48.13947276,38.30375855,25.53382976,29.11102357,23.42326698,23.42857506,,,14.68988671,,,32.84109282,39.03227902,39.01003419,45.73487109,28.23285801,21.02796209,23.88114715,11.3581981,11.8974582,3.648449343,19.58573289,4.607505324,10.52539587,19.28877531,17.63347858,17.94958855,17.39225121,18.48197928,8.055885805,11.45766259,18.92381704,16.07160807,13.73479383,9.190896696,11.42099599,7.186568065,6.789771089,5.107176039,8.851657909,12.7083415,11.96036896,10.41393185
